name, col-id, syn-name, syn-col-id
Scotophilus nucella, None, Scotophilus nucella, None
Scotophilus nux, 6905311, Pachyotus nux, None
Scotophilus nux, 6905311, Scotophilus nux, 6905311
Scotophilus robustus, 6905312, Pachyotus robustus, None
Scotophilus robustus, 6905312, Scotophilus robustus, 6905312
Scotophilus viridis, 6905313, Scotophilus viridis, 6905313
Scotophilus viridis, 6905313, Pachyotus viridis, None
Scotorepens balstoni, None, Scotorepens balstoni, None
Scotorepens greyii, None, Scotorepens greyii, None
Scotorepens greyii, None, Scotorepens caprenus, None
Scotorepens greyii, None, Scotorepens aqeilo, None
Scotorepens orion, None, Scotorepens orion, None
Scotorepens sanborni, None, Scotorepens sanborni, None
Scotozous dormeri, None, Scotozous dormeri, None
Scotozous dormeri, None, Scotozous caurinus, None
Scutisorex somereni, 6906639, Scutisorex somereni, 6906639
Scutisorex somereni, 6906639, Scutisorex congicus, None
Sekeetamys calurus, 6905962, Sekeetamys makrami, None
Sekeetamys calurus, 6905962, Sekeetamys calurus, 6905962
Selevinia betpakdalaensis, 6884434, Salevinia paradoxa, None
Selevinia betpakdalaensis, 6884434, Selevinia paradoxa, None
Selevinia betpakdalaensis, 6884434, Salevinia betpakdalaensis, None
Selevinia betpakdalaensis, 6884434, Selevinia betpakdalaensis, 6884434
Semnopithecus ajax, None, Semnopithecus ajax, None
Semnopithecus dussumieri, None, Semnopithecus iulus, None
Semnopithecus dussumieri, None, Semnopithecus dussumieri, None
Semnopithecus dussumieri, None, Semnopithecus achates, None
Semnopithecus dussumieri, None, Semnopithecus elissa, None
Semnopithecus dussumieri, None, Semnopithecus priamellus, None
Semnopithecus dussumieri, None, Semnopithecus anchises, None
Semnopithecus entellus, 6873713, Semnopithecus entellus, 6873713
Semnopithecus hector, None, Semnopithecus hector, None
Semnopithecus hypoleucos, None, Semnopithecus aeneas, None
Semnopithecus hypoleucos, None, Semnopithecus hypoleucos, None
Semnopithecus priam, None, Semnopithecus thersites, None
Semnopithecus priam, None, Semnopithecus priam, None
Semnopithecus priam, None, Semnopithecus priamus, None
Semnopithecus priam, None, Semnopithecus pallipes, None
Semnopithecus schistaceus, None, Semnopithecus achilles, None
Semnopithecus schistaceus, None, Semnopithecus lania, None
Semnopithecus schistaceus, None, Semnopithecus nipalensis, None
Semnopithecus schistaceus, None, Semnopithecus schistaceus, None
Setifer setosus, 6906429, Dasogale fontoynonti, None
Setifer setosus, 6906429, Dasogale spinosus, None
Setifer setosus, 6906429, Hericulus acanthurus, None
Setifer setosus, 6906429, Ericulus acanthurus, None
Setifer setosus, 6906429, Setifer acanthurus, None
Setifer setosus, 6906429, Dasogale acanthurus, None
Setifer setosus, 6906429, Hericulus fontoynonti, None
Setifer setosus, 6906429, Setifer fontoynonti, None
Setifer setosus, 6906429, Dasogale nigricans, None
Setifer setosus, 6906429, Hericulus setosus, None
Setifer setosus, 6906429, Ericulus setosus, None
Setifer setosus, 6906429, Setifer setosus, 6906429
Setifer setosus, 6906429, Dasogale setosus, None
